app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,precip_rate,pres,rh,slp,snow_rate,solar_rad,temp,uv,vis,wind_dir,wind_gust_spd,wind_spd,Broken clouds,Clear Sky,Few clouds,Fog,Haze,Heavy rain,Light rain,Moderate rain,Overcast clouds,Scattered clouds,Thunderstorm with heavy rain,timestamp
13.59508,96.816055,54.81063,10.366932,23.846567,200.96826,-24.82286,98.27309,-1.9441892,1016.7863,81.51731,1023.77246,-0.001369419,98.61529,0.6373299,13.196465,206.61671,4.712211,4.661662,0.3701087,-0.1885923,0.27318263,0.108333446,-0.024918288,0.001497261,-0.09980156,-0.02238098,0.39595893,0.1029631,2.2707482e-05,13.464738,2023-05-18 08:15:00
13.701898,97.888214,55.355556,10.384872,24.974285,209.25482,-26.2307,104.81514,-1.8635606,1016.76227,81.150276,1023.80676,0.0028271086,109.27065,0.59267044,14.002421,216.59732,5.139308,5.0285645,0.41908297,-0.14749274,0.27996558,-0.011218755,-0.0030878466,0.0035101844,-0.10091456,-0.020759813,0.41707888,0.06310809,-0.0022662093,13.53885,2023-05-18 08:30:00
13.863526,104.787094,55.400047,10.3813925,25.936058,221.90204,-27.096756,110.33224,-1.916185,1016.7839,79.70243,1023.94305,0.0033125246,124.37799,0.62854785,14.499499,220.50291,5.4115257,5.290171,0.5089431,-0.12059948,0.27551317,-0.13437933,0.010218777,-0.0003961828,-0.1081161,-0.021230185,0.39051107,0.05320136,-0.0010380966,13.736961,2023-05-18 08:45:00
13.994411,111.54177,56.222553,10.361639,27.485643,243.7878,-30.210062,118.42587,-2.1295168,1016.7819,78.49383,1023.9544,-0.0012046876,132.89055,0.6557194,13.390286,223.25505,5.5924573,5.4441767,0.5662131,-0.12486701,0.2056271,-0.12388972,0.08478332,0.0024000222,-0.12393629,-0.022436298,0.39443094,0.0748589,-0.002928035,13.926837,2023-05-18 09:00:00
14.163046,106.00249,56.39228,10.396653,29.74143,257.94534,-26.935486,121.46482,-2.1692395,1016.53894,77.75916,1023.5859,0.0010825447,146.75256,0.66280735,13.287165,213.41498,5.9520116,5.8346868,0.5582218,-0.09178383,0.20686223,-0.025236681,0.03644292,0.009852326,-0.14530271,-0.017307928,0.4049917,0.073400654,-0.0025785675,14.142088,2023-05-18 09:15:00
14.174806,101.99493,57.09411,10.376132,29.459658,247.82443,-25.911396,132.82063,-1.9182404,1016.53546,77.61929,1023.42346,0.0020080288,151.29523,0.7357943,13.18713,201.9447,6.2226152,6.083857,0.4738182,-0.07161403,0.20445573,0.03192336,-0.037619118,0.012313354,-0.15326895,-0.013347425,0.4258718,0.097310774,0.002954375,14.159972,2023-05-18 09:30:00
14.159617,102.41735,57.215492,10.32283,27.91872,233.07367,-23.089905,143.58185,-1.7830158,1016.5942,77.28282,1023.3496,0.0007528041,149.27565,0.8087688,12.715382,191.49995,6.4903464,6.4189067,0.4037853,-0.08392292,0.20218657,0.019821126,-0.009805709,0.008313155,-0.12480173,-0.012343382,0.4162389,0.12180204,0.0026106038,14.145937,2023-05-18 09:45:00
14.215202,98.00856,55.852455,10.288857,26.223934,213.06255,-19.614723,145.97824,-1.5722188,1016.4895,76.71948,1023.2498,0.00021160871,145.00763,0.88210565,12.713185,190.85733,6.937879,6.781815,0.3733699,-0.06728063,0.22417459,-0.010045871,0.06212853,0.0011750993,-0.056555174,-0.009993018,0.3678978,0.09701332,-0.002724063,14.223775,2023-05-18 10:00:00
14.306459,80.375175,54.365852,10.258724,25.073563,200.7074,-17.025234,145.7029,-1.2185433,1016.3237,76.19689,1023.2773,0.0022194828,141.83113,0.95360154,13.322517,200.8768,7.2268305,7.020886,0.31920716,-0.033857193,0.255526,0.009805381,0.12584941,-0.0038307419,-0.008036713,-0.004661276,0.34528932,0.104001634,-0.003991794,14.316102,2023-05-18 10:15:00
14.398217,57.472443,53.98293,10.223023,24.807104,196.72797,-15.466757,139.5294,-1.0435673,1016.32684,75.722404,1023.3839,0.0019481161,143.51744,0.9979359,13.496923,213.53502,7.322901,7.1827555,0.26155883,-0.03289506,0.24409562,0.045629844,0.17441624,-0.005117329,-0.0021156846,-0.0033721176,0.35630473,0.15390669,-0.00086645246,14.383168,2023-05-18 10:30:00
